!E(eV)			F(ergcm-2s-1)	delta e(-)	delta e(+)	delta F(-)	delta F(+)	Observatory

5.7899347268E-006	1.4400E-015	0		0		5.0E-17		5.0E-17		NVSS

1767999993.33883	2.9059E-013	767999977.83163	1361134663.0183	0.0000E+000	0.0000E+000	Fermi
5535000178.6781		1.1205E-012	2405865522.3209	4256483334.9767	2.5952E-013	2.5952E-013	Fermi
17319999989.0136	2.1859E-012	7528516475.3587	13318870558.859	4.7963E-013	4.7963E-013	Fermi
54197999152.5279	3.9787E-012	23559128604.654	41675151979.647	9.1280E-013	9.1280E-013	Fermi
169592998761.037	3.2502E-012	73719847628.861	130407001755.45	0.0000E+000	0.0000E+000	Fermi

3464324730.42754	8.48E-13	464352765.08936	536230669.05492	0.0000E+000	0.0000E+000	Fermi_clean
4619954345.2202	        1.1370E-012	619398945.73774	715056938.7598	0.0000E+000	0.0000E+000	Fermi_clean
6160490549.3152	        2.0810E-012	825479265.3352	953684962.85720	6.2468E-013	7.1538E-013	Fermi_clean
8215090243.7968	        1.6281E-012	1100914731.6244	1271717806.065	5.5747E-013	6.5675E-013	Fermi_clean
10955383636.638	        1.8110E-012	1468575586.7762	1695623741.42	0.0000E+000	0.0000E+000	Fermi_clean
14608832449.2488	1.6489E-012	1957825071.1908	2261383077.5816	7.6269E-013	9.5169E-013	Fermi_clean
19481476088.6172	2.3996E-012	2611260561.7868	3015315292.3642	8.7466E-013	1.1191E-012	Fermi_clean
25979023552.3854	3.3939E-012	3482232171.404	4020696100.9964	1.1781E-012	1.5044E-012	Fermi_clean
34643247304.2754	1.6786E-012	4643527650.8936	5362306690.5492	8.9034E-013	1.2556E-012	Fermi_clean
46199543452.202	        3.6388E-012	6193989457.3774	7150569387.598	1.5199E-012	1.9022E-012	Fermi_clean
61604905493.152	        4.1279E-012	8254792653.3520	9536849628.572	1.9297E-012	2.4887E-012	Fermi_clean
82150902437.968	        3.7952E-012	11009147316.244	12717178060.65	1.9697E-012	2.7847E-012	Fermi_clean
109553836366.38	        2.4530E-012	14685755867.762	16956237414.2	0.0000E+000	0.0000E+000	Fermi_clean
146088324492.488	4.8108E-012	19578250711.908	22613830775.816	0.0000E+000	0.0000E+000	Fermi_clean
194814760886.172	4.1780E-012	26112605617.868	30153152923.642	0.0000E+000	0.0000E+000	Fermi_clean
259790235523.854	5.6514E-012	34822321714.04	40206961009.964	0.0000E+000	0.0000E+000	Fermi_clean

210502998459.535	4.0059E-012	0		0		6.6076E-013	6.6076E-013	VERITAS
297344000301.939	3.5100E-012	0		0		4.4601E-013	4.4601E-013	VERITAS
420010012347.366	2.0187E-012	0		0		3.4054E-013	3.4054E-013	VERITAS
593279019988.11		1.8049E-012	0		0		3.0824E-013	3.0824E-013	VERITAS
838028990212.216	1.6407E-012	0		0		2.9638E-013	2.9638E-013	VERITAS
1183750004347.08	7.8899E-013	0		0		2.5427E-013	2.5427E-013	VERITAS
1672090014086.13	9.1111E-013	0		0		2.8304E-013	2.8304E-013	VERITAS

2.1050341616e11         5.10773e-12	0          	0          	8.42508e-13     8.42508e-13     VERITAS_deabsorbed_Fr08_z02
2.9734416572e11         5.74154e-12	0          	0          	7.29558e-13     7.29558e-13     VERITAS_deabsorbed_Fr08_z02
4.2001013641e11         4.84401e-12	0          	0          	8.17156e-13     8.17156e-13     VERITAS_deabsorbed_Fr08_z02
5.9327806878e11         7.09019e-12	0          	0          	1.21087e-12     1.21087e-12     VERITAS_deabsorbed_Fr08_z02
8.3803101668e11         1.10543e-11	0          	0          	1.99691e-12     1.99691e-12     VERITAS_deabsorbed_Fr08_z02
1.1837480192e12         8.78262e-12	0          	0          	2.83036e-12     2.83036e-12     VERITAS_deabsorbed_Fr08_z02
1.6720876567e12         1.5351e-11      0               0               4.76874e-12     4.76874e-12     VERITAS_deabsorbed_Fr08_z02
