!E(eV)			F(ergcm-2s-1)		delta E(-)	delta E(+)	delta F(-)		delta F(+)		UL	Observatory
6.61706829146061E-007	3.58399999182934E-014	0		0		4.67E-015		4.66948760213222E-015	no	KUEHR
2.39868719541306E-006	5.05759442765766E-014	0		0		2.09E-015		2.08935869591583E-015	no	KUEHR
1.93549305275125E-006	4.27284363428928E-014	0		0		1.45E-015		1.4514579920507E-015	no	KUEHR
3.97023868591542E-006	6.00960600206869E-014	0		0		1.82E-015		1.82469987082589E-015	no	KUEHR
2.62615053443606E-006	5.25779924846461E-014	0		0		1.72E-015		1.71520817590133E-015	no	KUEHR
3.30853411269773E-007	2.48000182261416E-014	0		0		3.22E-015		3.22019110203224E-015	no	KUEHR
2.07155570810842E-005	1.07693378095053E-013	0		0		4.51E-015		4.51096161826546E-015	no	KUEHR
2.07155570810842E-005	1.12702616829928E-013	0		0		4.51E-015		4.51079854411786E-015	no	KUEHR
0.0001298601		1.09900077833525E-013	0		0		2.23E-014		2.23185928163933E-014	no	KUEHR
1.11663083596951E-005	7.83000428991593E-014	0		0		2.97E-015		2.97157918507017E-015	no	KUEHR
5.83128968634144E-006	6.99360339546532E-014	0		0		1.41E-015		1.41019573098792E-015	no	KUEHR
5.78993404814427E-006	3.32171983648574E-014	0		0		1.27E-015		1.2737133301995E-015	no	NVSS
5.78993404814427E-006	1.50723857305728E-014	0		0		4.84E-016		4.83988301170849E-016	no	NVSS
5.78993404814427E-006	1.49004368083078E-014	0		0		4.84E-016		4.83957101044981E-016	no	NVSS
0.000020058		1.0917344127665E-013	0		0		4.81E-015		4.8050354472124E-015	no	PMN
3.4863711315999E-006	1.42298394457933E-014	0		0		4.28E-016		4.27539229864487E-016	no	PLANCK
3.4863711315999E-006	3.87105195317157E-014	0		0		1.26E-015		1.26335600127424E-015	no	PLANCK
1.0045547622		1.82183063214322E-011	0		0		1.32E-012		1.32357844514189E-012	no	2MASS
0.7464876323		1.6713638324554E-011	0		0		1.26E-012		1.26413455047376E-012	no	2MASS
0.5748580493		1.52765399453992E-011	0		0		7.35E-013		7.35345143447991E-013	no	2MASS
8.27133511658146E-005	1.37599862525215E-013	0		0		5.80E-015		5.80390403634472E-015	no	AT20GCAT(20GHz)
2.06783373785464E-005	6.50499549306215E-014	0		0		3.25E-015		3.25302772762214E-015	no	AT20GCAT(5GHz)
3.30853411269774E-005	7.69599895395176E-014	0		0		3.84E-015		3.84366314990185E-015	no	AT20GCAT(8GHz)
0.0001174529		1.88806525397526E-013	0		0		2.83E-014		2.83252278488806E-014	no	PCCS1F030
0.0004135668		4.14916781094725E-013	0		0		4.54E-014		4.53611297779852E-014	no	PCCS1F100
0.0005914004		5.17951386540335E-013	0		0		4.05E-014		4.04773246811177E-014	no	PCCS1F143
0.0008974404		5.48839045032457E-013	0		0		5.21E-014		5.20581350926788E-014	no	PCCS1F217
0.0014598916		1.24601135470983E-012	0		0		1.96E-013		1.95680191680847E-013	no	PCCS1F353
9.51203888068773E-005	1.61000045957008E-013	0		0		2.32E-014		2.31782464347309E-014	no	WMAP5(23e9Hz)
0.000136477		1.65000021194619E-013	0		0		3.35E-014		3.35083319350991E-014	no	WMAP5(33e9Hz)
0.3646419386		2.09907037834745E-011	0		0		3.36E-013		3.35578770708526E-013	no	WISE_W1
0.2695216252		1.1000058631478E-011	0		0		1.80E-013		1.79632221621295E-013	no	WISE_W2
0.1033088713		2.80227659805142E-012	0		0		5.55E-014		5.54599734392377E-014	no	WISE_W3
0.056369167		2.26899218466452E-012	0		0		1.63E-013		1.63103675409701E-013	no	WISE_W4
7.9983723266		5.6895117674773E-012	0		0		4.51E-013		4.50804165434006E-013	no	GALEXAISFUV
1000.0037228344		6.60088246813874E-012	0		0		2.96E-013		2.95571061743139E-013	no	SWXRT
1000.0037228344		6.78842462197597E-012	0		0		2.08E-013		2.08071391272722E-013	no	SWXRT
4470.6597363433		4.23008408204113E-012	0		0		4.12E-013		4.11897266911838E-013	no	SWXRT
4470.6597363433		1.70341708956824E-012	0		0		1.31E-013		1.31051565140376E-013	no	SWXRT
1000.8306957125		3.73950398185427E-012	0		0		2.36E-013		2.35890013704694E-013	no	RASS
4900.76205419		6.79935943625767E-012	0		0		1.66E-012		1.66210784004175E-012	no	XMM
632.3428565773		3.48048687207546E-012	0		0		5.36E-013		5.3593520891256E-013	no	XMM
632.3428565773		2.31281555739744E-012	0		0		5.92E-013		5.91688799699849E-013	no	XMM
1549.2218614859		5.00670496433998E-012	0		0		8.72E-013		8.71823545014952E-013	no	XMM
1549.2218614859		2.54494850992371E-012	0		0		6.24E-013		6.24375447407202E-013	no	XMM
316.212924517		8.18127516962033E-012	0		0		4.20E-013		4.19928098435217E-013	no	TWOXMMIDR3
316.212924517		9.18007015214395E-012	0		0		1.41E-013		1.41456177276947E-013	no	TWOXMMIDR3
707.198965646		5.2897482066475E-012	0		0		1.92E-013		1.92029746345519E-013	no	TWOXMMIDR3
