!Freq (Hz)		    E (eV)		      nuFnu (erg cm-2 s-1)	-dnuFnu (erg cm-2 s-1)	  +dnuFnu (erg cm-2 s-1)   Observatoire
14.932980821923199       0.54956972427061856       -11.171018045992078       -11.177063428808500       -11.165055660947065      UVOT           
15.169086357487023       0.78567525983444320       -11.247030134970915       -11.254086331049924       -11.240086753862302      UVOT           
14.743979865241842       0.36056876758926337       -10.813043664534588       -10.829342318176769       -10.797334622793985      UVOT   
14.942008053022313       0.55859695536973364       -11.279014255846262       -11.296356169416788       -11.262338318096242      UVOT           
14.839980557678343       0.45656946002576315       -11.072989131024348       -11.090299586498579       -11.056342283350626      UVOT           
15.056142262059053       0.67273116440647285       -11.395990067587769       -11.413311446759948       -11.379333118041915      UVOT           
15.128076012668716       0.74466491501613585       -11.353988590408761       -11.364667076066237       -11.343566379934050      UVOT           
15.169086357487023       0.78567525983444320       -11.381011079635066       -11.394199515812760       -11.368211367657763      UVOT           
14.743979865241842       0.36056876758926337       -10.856048883576037       -10.876524039259579       -10.836495739363038      UVOT           
14.932980821923199       0.54956972427061856       -11.235973392307963       -11.243035442927221       -11.229024342447355      UVOT           
14.839980557678343       0.45656946002576315       -11.053007659251628       -11.071383983479253       -11.035377430564367      UVOT           
15.056142262059053       0.67273116440647285       -11.353988590408761       -11.360033661378480       -11.348026508706553      UVOT           
15.128076012668716       0.74466491501613585       -11.273028416317123       -11.290340027749739       -11.256380499628438      UVOT           
15.169086357487023       0.78567525983444320       -11.344957658668799       -11.358159174597281       -11.332145627034352      UVOT    
10.301029995663981       -4.0823811019885987       -12.861381566100508       -12.880084589742008       -12.843450848668219      AT20GCAT       
9.6989700043360187       -4.6844410933165603       -13.186752699102396       -13.209011524911183       -13.165579296318468      AT20GCAT        
9.9030899869919438       -4.4803211106606362       -13.113734940970243       -13.135963817274225       -13.092588639225413      AT20GCAT       
8.2041199826559250       -6.1792911149966550       -13.445631999009912       -13.505845405981557       -13.392759496168257      KUEHR          
8.7634279935629369       -5.6199831040896422       -13.296055521504496       -13.314365728998046       -13.278486157915978      KUEHR          
8.6702458530741247       -5.7131652445784553       -13.369287435038919       -13.384289770338993       -13.354786084762820      KUEHR          
8.9822712330395689       -5.4011398646130111       -13.221154433750002       -13.234540075885175       -13.208169052325164      KUEHR          
8.8027737252919760       -5.5806373723606040       -13.279195937923145       -13.293593758623787       -13.265260159979851      KUEHR          
7.9030899869919438       -6.4803211106606362       -13.605548319173783       -13.665546248849068       -13.552841968657781      KUEHR          
9.6997510316895141       -4.6836600659630649       -12.967824623038638       -12.986396479254742       -12.950014497505013      KUEHR          
9.6997510316895141       -4.6836600659630649       -12.948076083953893       -12.965805252325412       -12.931042374122132      KUEHR          
10.496929648073214       -3.8864814495793647       -12.959002307576510       -13.055912320584566       -12.879821061528885      KUEHR          
9.4313637641589878       -4.9520473334935922       -13.106238237942057       -13.123032032567416       -13.090069740247170      KUEHR          
9.1492191126553806       -5.2341919849971994       -13.155299210854423       -13.164144618082327       -13.146630370504822      KUEHR   
