!E(eV)			F(erg.cm-2.s-1)		delta E-	delta E+	Delta F- 		Delta F-+		UL	Observatoire
3.544620332		6.74499999999999E-012	0		0		9.32399999999872E-014	9.32400000000066E-014	no	UVOT
6.1048536873		5.66200000000001E-012	0		0		9.12500000000162E-014	9.12499999999871E-014	no	UVOT
2.2938698204		1.538E-011		0		0		5.66500000000003E-013	5.66499999999994E-013	no	UVOT
3.6190697672		5.25999999999999E-012	0		0		2.05899999999983E-013	2.05900000000005E-013	no	UVOT
2.8613399599		8.45300000000001E-012	0		0		3.30299999999999E-013	3.30300000000009E-013	no	UVOT
4.7068587372		4.018E-012		0		0		1.57100000000007E-013	1.57100000000005E-013	no	UVOT
5.5547550827		4.426E-012		0		0		1.07499999999996E-013	1.07500000000007E-013	no	UVOT
6.1048536873		4.15900000000001E-012	0		0		1.24400000000005E-013	1.24399999999989E-013	no	UVOT
2.2938698204		1.393E-011		0		0		6.41500000000015E-013	6.41500000000017E-013	no	UVOT
3.544620332		5.80799999999999E-012	0		0		9.36799999999997E-014	9.36799999999981E-014	no	UVOT
2.8613399599		8.85099999999999E-012	0		0		3.66699999999999E-013	3.66700000000004E-013	no	UVOT
4.7068587372		4.426E-012		0		0		6.11799999999963E-014	6.11799999999955E-014	no	UVOT
5.5547550827		5.333E-012		0		0		2.08400000000006E-013	2.08400000000001E-013	no	UVOT
6.1048536873		4.519E-012		0		0		1.35300000000003E-013	1.35300000000007E-013	no	UVOT
8.27215946786765E-005	1.376E-013		0		0		5.79999999999948E-015	5.80000000000016E-015	no	AT20GCAT
2.06803986696692E-005	6.50499999999999E-014	0		0		3.24999999999975E-015	3.25000000000009E-015	no	AT20GCAT
3.30886378714706E-005	7.69600000000001E-014	0		0		3.84000000000015E-015	3.84000000000005E-015	no	AT20GCAT
6.61772757429412E-007	3.58400000000001E-014	0		0		4.64000000000001E-015	4.64000000000002E-015	no	KUEHR
2.39892624568162E-006	5.0576E-014		0		0		2.088E-015		2.08799999999995E-015	no	KUEHR
1.93568531548103E-006	4.2728E-014		0		0		1.4508000000001E-015	1.45080000000004E-015	no	KUEHR
