!E(eV)		F(ergcm-2s-1)	Emin            Emax      	delta F(-)	delta F(+)	Observatory
3.4907E-06	1.3022E-14	3.3204E-06	3.6699E-06	7.5970E-16	7.5970E-16	mgps
3.4783E-05	1.9779E-14	3.3085E-05	3.6568E-05	1.0583E-15	1.0583E-15	tan
8.2817E-05	1.1136E-13	7.8775E-05	8.7067E-05	1.1136E-14	1.1136E-14	ALMA
2.2753E-05	5.4702E-14	2.2191E-05	2.3329E-05	1.4454E-15	1.4454E-15	atca
3.7233E-05	7.5995E-14	3.6313E-05	3.8175E-05	2.0372E-15	2.0372E-15	atca
7.0328E-05	1.1064E-13	6.8592E-05	7.2109E-05	2.4731E-15	2.4731E-15	atca
7.8602E-05	1.1985E-13	7.6661E-05	8.0592E-05	2.7641E-15	2.7641E-15	atca
1.5720E-04	2.0355E-13	1.5332E-04	1.6118E-04	6.8591E-15	6.8591E-15	atca
1.6548E-04	2.1827E-13	1.6139E-04	1.6967E-04	7.2201E-15	7.2201E-15	atca
5.6350E-02	1.0936E-12	4.9444E-02	6.4220E-02	2.3766E-13	2.3766E-13	wise
1.0350E-01	1.1407E-12	9.0813E-02	1.1795E-01	1.7778E-13	1.7778E-13	wise
2.7078E-01	3.9367E-12	2.3759E-01	3.0860E-01	5.7798E-13	5.7798E-13	wise
3.7127E-01	5.5728E-12	3.2577E-01	4.2313E-01	8.2563E-13	8.2563E-13	wise
5.7589E-01	7.4002E-12	5.3420E-01	6.2083E-01	5.7011E-13	5.7011E-13	2MASS
7.4810E-01	7.1048E-12	6.9395E-01	8.0648E-01	7.7068E-13	7.7068E-13	2MASS
1.0068E+00	7.0270E-12	9.3388E-01	1.0853E+00	1.0263E-12	1.0263E-12	2MASS
5.1651E-01	5.0280E-12	5.1624E-01	5.1678E-01	2.5466E-13	2.5466E-13	X-Shooter
5.1705E-01	5.3291E-12	5.1678E-01	5.1732E-01	2.7226E-13	2.7226E-13	X-Shooter
5.1759E-01	5.3728E-12	5.1732E-01	5.1786E-01	2.7000E-13	2.7000E-13	X-Shooter
5.1813E-01	5.3489E-12	5.1786E-01	5.1840E-01	2.7095E-13	2.7095E-13	X-Shooter
5.1867E-01	5.0636E-12	5.1840E-01	5.1894E-01	2.5543E-13	2.5543E-13	X-Shooter
5.1922E-01	5.2841E-12	5.1894E-01	5.1949E-01	2.6807E-13	2.6807E-13	X-Shooter
5.1976E-01	5.4266E-12	5.1949E-01	5.2003E-01	2.7436E-13	2.7436E-13	X-Shooter
5.2031E-01	5.2211E-12	5.2003E-01	5.2058E-01	2.6608E-13	2.6608E-13	X-Shooter
5.2085E-01	5.2469E-12	5.2058E-01	5.2113E-01	2.6452E-13	2.6452E-13	X-Shooter
5.2140E-01	5.2042E-12	5.2113E-01	5.2167E-01	2.6246E-13	2.6246E-13	X-Shooter
5.2195E-01	5.5769E-12	5.2167E-01	5.2222E-01	2.8118E-13	2.8118E-13	X-Shooter
5.2250E-01	5.3772E-12	5.2222E-01	5.2277E-01	2.7193E-13	2.7193E-13	X-Shooter
5.2305E-01	5.0943E-12	5.2277E-01	5.2333E-01	2.6130E-13	2.6130E-13	X-Shooter
5.2360E-01	5.3239E-12	5.2333E-01	5.2388E-01	2.6981E-13	2.6981E-13	X-Shooter
5.2416E-01	5.5314E-12	5.2388E-01	5.2443E-01	2.7775E-13	2.7775E-13	X-Shooter
5.2471E-01	5.5415E-12	5.2443E-01	5.2499E-01	2.7915E-13	2.7915E-13	X-Shooter
5.2527E-01	5.3421E-12	5.2499E-01	5.2554E-01	2.6795E-13	2.6795E-13	X-Shooter
5.2582E-01	5.3486E-12	5.2554E-01	5.2610E-01	2.6939E-13	2.6939E-13	X-Shooter
5.2638E-01	5.7306E-12	5.2610E-01	5.2666E-01	2.8846E-13	2.8846E-13	X-Shooter
5.2694E-01	5.4474E-12	5.2666E-01	5.2722E-01	2.7435E-13	2.7435E-13	X-Shooter
5.2750E-01	5.4427E-12	5.2722E-01	5.2778E-01	2.7666E-13	2.7666E-13	X-Shooter
5.2806E-01	5.4203E-12	5.2778E-01	5.2835E-01	2.7224E-13	2.7224E-13	X-Shooter
5.2863E-01	5.5777E-12	5.2835E-01	5.2891E-01	2.8138E-13	2.8138E-13	X-Shooter
5.2919E-01	5.6671E-12	5.2891E-01	5.2947E-01	2.8534E-13	2.8534E-13	X-Shooter
5.2976E-01	5.5055E-12	5.2947E-01	5.3004E-01	2.7680E-13	2.7680E-13	X-Shooter
