!E(eV)          F(ergcm-2s-1)   delta_E(-)      delta_E(+)      delta_F(-)      delta_F(+)	instrument 
2.2674335594	4.52E-11	0	0	3.39E-12	3.39E-12	Swift-UVOT
2.8229323041	5.18E-11	0	0	1.13E-12	1.13E-12	Swift-UVOT
3.5781589828	5.15E-11	0	0	1.25E-12	1.25E-12	Swift-UVOT
4.768590241	4.87E-11	0	0	1.02E-12	1.02E-12	Swift-UVOT
6.4306737177	4.67E-11	0	0	9.96E-13	9.96E-13	Swift-UVOT
779.9938723868	6.90E-12	0	0	1.05E-12	1.05E-12	Swift-XRT
884.9930704424	6.17E-12	0	0	1.04E-12	1.04E-12	Swift-XRT
979.9923562259	7.81E-12	0	0	1.08E-12	1.08E-12	Swift-XRT
1089.991510413	7.31E-12	0	0	9.59E-13	9.59E-13	Swift-XRT
1199.990664605	8.99E-12	0	0	1.16E-12	1.16E-12	Swift-XRT
1314.989774928	6.92E-12	0	0	9.33E-13	9.33E-13	Swift-XRT
1489.988358881	5.04E-12	0	0	6.42E-13	6.42E-13	Swift-XRT
1719.986579528	5.91E-12	0	0	7.54E-13	7.54E-13	Swift-XRT
2044.984085963	5.73E-12	0	0	7.46E-13	7.46E-13	Swift-XRT
2989.976630030	3.63E-12	0	0	4.71E-13	4.71E-13	Swift-XRT
4384.965941544	2.69E-12	0	0	6.02E-13	6.02E-13	Swift-XRT
173203726.426122 2.21E-11	0	0	4.16E-12	4.16E-12	Fermi-LAT
547718274.736526 4.15E-11	0	0	3.56E-12	3.56E-12	Fermi-LAT
1732037264.26122 3.88E-11	0	0	4.39E-12	4.39E-12	Fermi-LAT
5477182747.36526 3.87E-11	0	0	6.40E-12	6.40E-12	Fermi-LAT
17320372642.6122 3.62E-11	0	0	1.15E-11	1.15E-11	Fermi-LAT
54771827473.6526 3.59E-11	0	0	1.80E-11	1.80E-11	Fermi-LAT
149798828678.809 2.87E-11	0	0	5.43E-12	5.43E-12	VERITAS
168098685586.851 2.02E-11	0	0	3.97E-12	3.97E-12	VERITAS
188598525292.786 1.74E-11	0	0	3.18E-12	3.18E-12	VERITAS
211498346232.299 2.24E-11	0	0	7.03E-12	7.03E-12	VERITAS
237298144496.251 8.27E-12	0	0	3.18E-12	3.18E-12	VERITAS
266197918520.327 9.47E-12	0	0	2.71E-12	2.71E-12	VERITAS
298697664395.389 7.23E-12	0	0	2.24E-12	2.24E-12	VERITAS
353097239029.065 2.72E-12	0	0	1.10E-12	1.10E-12	VERITAS

